StudyGlobal Booking ID,SumOfStage Duration,SumOf# Calls,SumOf# Emails,Direction,Sub-Region,Class,Intake vs Offer,emailsCallsProduct
16595498,816,0,3,Inbound,LAM,Jack,284,0
16595498,816,0,3,Inbound,LAM,Jack,221,0
16595498,816,0,3,Inbound,LAM,Jill,117,0
16595498,9520,7,0,Outbound,LAM,Jack,284,0
16595498,9520,7,0,Outbound,LAM,Jack,221,0
16595498,9520,7,0,Outbound,LAM,Jill,117,0
16798845,2192,0,8,Inbound,ANZ,Jill,90,0
16798845,1644,3,3,Outbound,ANZ,Jill,90,9
18107126,4824,0,18,Inbound,ANZ,Jill,46,0
18107126,7236,9,18,Outbound,ANZ,Jill,46,162
13353359,491,0,1,Outbound,E China,Jill,398,0
13353359,491,0,1,Outbound,E China,Jill,292,0
13353359,491,0,1,Outbound,E China,Jack,409,0
12783338,408,0,1,Outbound,C China,Jack,472,0
12783338,408,0,1,Outbound,C China,Jack,398,0
12783338,408,0,1,Outbound,C China,Jill,390,0
12783338,408,0,1,Outbound,C China,Jill,114,0
18214627,805,0,5,Inbound,Korea,Jill,152,0
18214627,805,0,5,Inbound,Korea,Jack,157,0
18214627,1610,2,8,Outbound,Korea,Jill,152,16
18214627,1610,2,8,Outbound,Korea,Jack,157,16
18112605,1449,0,9,Inbound,W China,Jack,160,0
18112605,1449,0,9,Inbound,W China,Jill,150,0
18112605,483,1,2,Outbound,W China,Jack,160,2
18112605,483,1,2,Outbound,W China,Jill,150,2
20889570,535,0,5,Inbound,Singapore,Jill,139,0
20889570,963,4,5,Outbound,Singapore,Jill,139,20
18067322,990,1,9,Inbound,E China,Jill,210,9
18067322,1485,9,6,Outbound,E China,Jill,210,54
16888912,963,0,9,Inbound,E China,Jill,250,0
16888912,1391,9,4,Outbound,E China,Jill,250,36
20435275,594,0,6,Inbound,S China,Jill,151,0
20435275,594,0,6,Inbound,S China,Jack,23,0
20435275,198,0,2,Outbound,S China,Jill,151,0
20435275,198,0,2,Outbound,S China,Jack,23,0
21072123,535,0,5,Inbound,S China,Jill,136,0
21072123,214,0,2,Outbound,S China,Jill,136,0
23680095,256,0,2,Inbound,Taiwan/Japan,Jill,59,0
23680095,256,0,2,Inbound,Taiwan/Japan,Jack,,0
23680095,384,0,3,Outbound,Taiwan/Japan,Jill,59,0
23680095,384,0,3,Outbound,Taiwan/Japan,Jack,,0
18280983,2176,0,17,Inbound,W China,Jill,185,0
18280983,1536,6,6,Outbound,W China,Jill,185,36
22964378,488,0,4,Inbound,E China,Jill,74,0
22964378,610,2,2,Outbound,E China,Jill,74,4
23074349,128,0,0,Outbound,E China,Jill,70,0
18076526,436,1,1,Inbound,W China,Jack,398,1
18076526,436,1,1,Inbound,W China,Jill,189,1
18076526,436,1,1,Inbound,W China,Jack,357,1
17110514,1776,0,6,Inbound,E China,Jack,136,0
17110514,1776,0,6,Inbound,E China,Jill,115,0
17110514,5032,5,11,Outbound,E China,Jack,136,55
17110514,5032,5,11,Outbound,E China,Jill,115,55
15776206,636,1,2,Outbound,S China,Jill,194,2
16492207,1484,7,0,Outbound,S China,Jill,159,0
19393787,3270,0,15,Inbound,Hong Kong,Jack,507,0
